payment_id,subscriber_id,payment_date,amount_usd,failure_reason,gateway_response_code,attempt_number,previous_failures,days_since_last_payment,historical_success_rate,payment_method,customer_tenure_months,monthly_charge_usd,support_ticket_count,customer_lifetime_value_usd,customer_opted_out,recovery_probability,root_cause,root_cause_confidence,revenue_at_risk,expected_recovery,recommended_action
PAY-0000047,CUST-005000,2026-08-23,39.7,AUTHENTICATION_FAILED,3DS_FAIL_05,1,1,34,0.539,card,37,40.56,1,1564.06,False,0.458,CUSTOMER_ACTION_REQUIRED,0.845,39.66,18.16,CUSTOMER_NUDGE
PAY-0000048,CUST-000219,2025-02-07,25.79,NETWORK_TIMEOUT,91,1,1,21,0.512,upi,16,24.24,0,370.91,False,0.01,RISK_RELATED,0.53,27.36,0.27,STOP
PAY-0000049,CUST-002818,2026-03-04,36.08,NETWORK_TIMEOUT,TIMEOUT_408,3,2,29,0.524,netbanking,4,32.84,1,144.06,False,0.722,TRANSIENT_FAILURE,0.778,35.06,25.31,RETRY
PAY-0000050,CUST-006979,2025-04-11,28.55,DUPLICATE_TRANSACTION,94,3,2,24,0.549,card,21,23.93,0,551.18,False,0.608,GATEWAY_ERROR,0.745,30.36,18.46,HUMAN_REVIEW
PAY-0000051,CUST-001286,2025-02-21,21.38,BANK_UNAVAILABLE,91,1,1,35,0.533,upi,9,20.51,0,174.87,False,0.679,TRANSIENT_FAILURE,0.822,23.08,15.67,RETRY
PAY-0000052,CUST-007626,2025-12-06,19.27,GATEWAY_ERROR,96,2,1,26,0.573,upi,16,16.55,1,231.69,False,0.491,GATEWAY_ERROR,0.833,19.93,9.79,RETRY
PAY-0000053,CUST-004639,2026-01-17,21.21,AUTHENTICATION_FAILED,3DS_FAIL_05,2,2,27,0.599,card,2,21.45,0,50.68,False,0.361,CUSTOMER_ACTION_REQUIRED,0.891,21.78,7.86,CUSTOMER_NUDGE
PAY-0000054,CUST-002942,2025-09-04,18.37,LIMIT_EXCEEDED,61,2,1,37,0.739,card,27,21.12,2,688.18,False,0.415,CUSTOMER_ACTION_REQUIRED,0.766,17.88,7.42,CUSTOMER_NUDGE
PAY-0000055,CUST-001968,2025-08-04,14.9,NETWORK_TIMEOUT,91,1,0,22,0.572,card,15,12.98,1,226.01,False,0.778,TRANSIENT_FAILURE,0.918,15.43,12.0,RETRY
PAY-0000056,CUST-002868,2025-04-21,3.48,NETWORK_TIMEOUT,TIMEOUT_408,5,4,40,0.405,card,10,7.93,0,93.65,False,0.491,TRANSIENT_FAILURE,0.904,3.72,1.83,STOP
PAY-0000057,CUST-000497,2025-08-04,11.55,INSUFFICIENT_FUNDS,51,2,1,24,0.49,upi,14,12.91,0,167.38,False,0.521,CUSTOMER_ACTION_REQUIRED,0.954,11.97,6.24,CUSTOMER_NUDGE
PAY-0000058,CUST-005021,2026-07-22,15.76,BANK_UNAVAILABLE,GW_503,1,0,29,0.482,netbanking,8,10.92,0,74.38,False,0.62,GATEWAY_ERROR,0.582,16.66,10.33,RETRY
PAY-0000059,CUST-002285,2025-09-08,28.12,NETWORK_TIMEOUT,91,2,3,32,0.375,upi,3,24.08,0,67.62,False,0.497,TRANSIENT_FAILURE,0.851,30.21,15.01,RETRY
PAY-0000060,CUST-007869,2026-08-27,14.38,NETWORK_TIMEOUT,GW_503,3,3,37,0.46,upi,35,16.91,1,707.01,False,0.652,TRANSIENT_FAILURE,0.734,15.52,10.12,RETRY
PAY-0000061,CUST-001296,2026-08-08,34.26,FRAUD_SUSPECTED,RISK_BLOCK_63,1,0,41,0.659,upi,10,32.46,0,362.83,False,0.084,RISK_RELATED,0.735,35.27,2.96,STOP
PAY-0000062,CUST-004156,2025-08-24,44.12,FRAUD_SUSPECTED,RISK_BLOCK_63,2,2,36,0.709,card,34,35.14,0,1203.42,False,0.534,GATEWAY_ERROR,0.694,44.39,23.7,HUMAN_REVIEW
PAY-0000063,CUST-006506,2025-08-28,18.01,LIMIT_EXCEEDED,61,2,2,30,0.395,upi,7,18.79,1,112.46,False,0.253,CUSTOMER_ACTION_REQUIRED,0.856,18.09,4.58,CUSTOMER_NUDGE
PAY-0000064,CUST-006779,2026-03-04,40.42,DUPLICATE_TRANSACTION,DUP_94,2,1,38,0.656,upi,27,36.03,1,835.98,True,0.118,GATEWAY_ERROR,0.798,40.9,4.83,STOP
PAY-0000065,CUST-001976,2025-04-01,17.81,NETWORK_TIMEOUT,TIMEOUT_408,3,2,30,0.556,card,23,16.42,2,431.9,False,0.652,TRANSIENT_FAILURE,0.801,17.42,11.36,HUMAN_REVIEW
PAY-0000066,CUST-008558,2026-05-08,31.57,INSUFFICIENT_FUNDS,NSF_51,2,1,37,0.537,upi,26,31.73,3,917.39,False,0.393,CUSTOMER_ACTION_REQUIRED,0.929,33.56,13.19,CUSTOMER_NUDGE
PAY-0000067,CUST-008532,2025-07-16,49.29,INVALID_CARD,14,4,3,47,0.655,netbanking,72,38.64,2,3360.2,False,0.108,PAYMENT_INSTRUMENT,0.976,52.15,5.63,STOP
PAY-0000068,CUST-003740,2025-06-03,18.0,INSUFFICIENT_FUNDS,51,1,0,25,0.613,upi,9,18.99,1,209.77,False,0.5,CUSTOMER_ACTION_REQUIRED,0.94,18.45,9.22,CUSTOMER_NUDGE
PAY-0000069,CUST-004116,2025-06-30,16.96,AUTHENTICATION_FAILED,05,1,0,29,0.533,card,19,15.83,0,318.33,False,0.941,TRANSIENT_FAILURE,0.356,16.83,15.84,RETRY
PAY-0000070,CUST-002980,2025-05-19,7.12,NETWORK_TIMEOUT,TIMEOUT_408,1,1,29,0.453,card,42,6.54,0,330.04,False,0.721,TRANSIENT_FAILURE,0.813,7.59,5.47,RETRY
PAY-0000071,CUST-003565,2025-12-02,49.33,DUPLICATE_TRANSACTION,94,1,1,23,0.506,card,20,44.86,1,894.31,False,0.575,GATEWAY_ERROR,0.879,52.91,30.42,RETRY
PAY-0000072,CUST-007118,2026-01-30,28.07,GATEWAY_ERROR,GW_500,1,0,32,0.484,card,16,29.65,0,527.96,False,0.574,GATEWAY_ERROR,0.838,29.02,16.66,RETRY
PAY-0000073,CUST-004597,2026-04-12,19.85,BANK_UNAVAILABLE,GW_503,1,0,29,0.549,card,20,18.67,0,371.07,False,0.662,TRANSIENT_FAILURE,0.754,20.51,13.58,RETRY
PAY-0000074,CUST-008049,2025-08-09,20.84,BANK_UNAVAILABLE,GW_503,2,2,32,0.58,upi,51,16.36,0,717.11,False,0.643,TRANSIENT_FAILURE,0.808,21.25,13.66,RETRY
PAY-0000075,CUST-003697,2026-06-14,22.72,NETWORK_TIMEOUT,GW_503,1,1,21,0.447,card,6,16.99,0,112.24,False,0.725,TRANSIENT_FAILURE,0.918,23.22,16.83,RETRY
PAY-0000076,CUST-006219,2025-07-02,20.26,AUTHENTICATION_FAILED,3DS_FAIL_05,2,4,27,0.416,card,16,20.82,2,350.17,False,0.244,CUSTOMER_ACTION_REQUIRED,0.959,20.45,4.99,STOP
PAY-0000077,CUST-006588,2026-08-02,29.82,INSUFFICIENT_FUNDS,51,4,3,39,0.529,card,49,26.85,0,1533.98,False,0.286,CUSTOMER_ACTION_REQUIRED,0.744,32.11,9.18,CUSTOMER_NUDGE
PAY-0000078,CUST-002982,2026-04-06,31.03,BANK_UNAVAILABLE,BANK_DOWN_502,1,1,21,0.569,card,12,25.04,1,286.83,False,0.634,TRANSIENT_FAILURE,0.811,31.52,19.98,RETRY
PAY-0000079,CUST-008194,2026-07-31,31.4,AUTHENTICATION_FAILED,3DS_FAIL_05,5,4,38,0.528,netbanking,10,32.45,2,348.86,True,0.022,CUSTOMER_ACTION_REQUIRED,0.787,32.23,0.71,STOP
PAY-0000080,CUST-004588,2026-06-05,83.23,INSUFFICIENT_FUNDS,51,1,0,29,0.649,card,40,88.27,0,3125.33,False,0.439,CUSTOMER_ACTION_REQUIRED,0.723,82.11,36.05,CUSTOMER_NUDGE
PAY-0000081,CUST-004569,2026-05-01,23.14,CARD_EXPIRED,54,2,1,30,0.642,card,22,22.44,2,612.98,False,0.318,PAYMENT_INSTRUMENT,0.873,22.67,7.21,CUSTOMER_NUDGE
PAY-0000082,CUST-000454,2025-02-10,8.08,BANK_UNAVAILABLE,91,1,0,29,0.482,card,16,11.71,0,198.53,False,0.759,TRANSIENT_FAILURE,0.956,8.56,6.5,RETRY
PAY-0000083,CUST-007665,2025-09-23,43.2,GATEWAY_ERROR,GW_500,1,0,22,0.633,netbanking,20,36.41,2,710.42,False,0.72,GATEWAY_ERROR,0.877,46.59,33.54,RETRY
PAY-0000084,CUST-005481,2025-08-22,25.93,BANK_UNAVAILABLE,BANK_DOWN_502,4,3,29,0.536,card,13,28.7,0,446.82,False,0.502,TRANSIENT_FAILURE,0.787,26.95,13.53,HUMAN_REVIEW
PAY-0000085,CUST-002049,2025-07-05,28.02,CARD_EXPIRED,54,3,2,28,0.637,card,36,26.34,3,948.96,False,0.156,PAYMENT_INSTRUMENT,0.857,27.31,4.26,CUSTOMER_NUDGE
PAY-0000086,CUST-002801,2026-05-27,26.24,AUTHENTICATION_FAILED,3DS_FAIL_05,1,0,27,0.4,card,31,23.18,1,801.83,False,0.36,CUSTOMER_ACTION_REQUIRED,0.724,25.95,9.34,CUSTOMER_NUDGE
PAY-0000087,CUST-003292,2026-05-14,15.52,GATEWAY_ERROR,GW_500,1,1,25,0.576,card,30,19.42,2,561.36,False,0.619,GATEWAY_ERROR,0.947,15.55,9.63,RETRY
PAY-0000088,CUST-007522,2026-03-20,14.38,GATEWAY_ERROR,GW_ERR_96,1,0,32,0.619,upi,10,13.56,2,144.32,False,0.67,GATEWAY_ERROR,0.895,15.09,10.11,RETRY
PAY-0000089,CUST-007243,2026-02-02,17.71,CARD_EXPIRED,EXP_CARD_54,2,1,25,0.449,card,12,16.13,1,165.72,False,0.277,PAYMENT_INSTRUMENT,0.772,18.08,5.01,CUSTOMER_NUDGE
PAY-0000090,CUST-004858,2026-07-24,17.11,INSUFFICIENT_FUNDS,51,2,1,28,0.552,card,38,20.37,1,700.45,False,0.348,CUSTOMER_ACTION_REQUIRED,0.804,17.08,5.94,CUSTOMER_NUDGE
PAY-0000091,CUST-007065,2026-06-22,25.63,AUTHENTICATION_FAILED,05,1,0,30,0.616,card,19,21.0,0,467.14,False,0.39,CUSTOMER_ACTION_REQUIRED,0.914,26.44,10.31,CUSTOMER_NUDGE
PAY-0000092,CUST-005091,2025-12-05,21.61,INSUFFICIENT_FUNDS,NSF_51,1,0,25,0.547,card,22,15.49,1,368.23,False,0.539,CUSTOMER_ACTION_REQUIRED,0.935,23.29,12.55,CUSTOMER_NUDGE
PAY-0000093,CUST-001348,2025-08-26,15.33,INSUFFICIENT_FUNDS,NSF_51,3,3,35,0.255,upi,7,16.93,0,130.38,False,0.32,CUSTOMER_ACTION_REQUIRED,0.763,15.81,5.06,CUSTOMER_NUDGE
PAY-0000094,CUST-001986,2026-04-14,35.75,LIMIT_EXCEEDED,LIMIT_61,5,4,31,0.591,netbanking,22,31.53,2,730.97,False,0.156,CUSTOMER_ACTION_REQUIRED,0.731,37.34,5.83,HUMAN_REVIEW
PAY-0000095,CUST-002890,2025-08-10,29.72,BANK_UNAVAILABLE,BANK_DOWN_502,2,2,31,0.411,card,13,28.42,0,350.62,False,0.723,TRANSIENT_FAILURE,0.79,28.86,20.87,RETRY
PAY-0000096,CUST-002039,2025-05-24,27.14,INVALID_CARD,INVALID_14,4,3,35,0.6,netbanking,1,30.01,0,33.14,False,0.312,PAYMENT_INSTRUMENT,0.721,27.87,8.7,CUSTOMER_NUDGE
PAY-0000097,CUST-008089,2026-08-04,75.94,FRAUD_SUSPECTED,FRAUD_59,4,3,36,0.379,upi,15,78.77,1,1221.49,False,0.01,RISK_RELATED,0.958,77.13,0.77,STOP
PAY-0000098,CUST-001739,2025-03-28,16.55,CARD_EXPIRED,EXP_CARD_54,3,2,33,0.521,upi,15,13.54,0,241.98,False,0.188,PAYMENT_INSTRUMENT,0.816,17.57,3.3,HUMAN_REVIEW
PAY-0000099,CUST-000849,2025-07-15,11.42,INVALID_CARD,14,2,1,32,0.418,card,58,13.13,2,819.88,False,0.237,PAYMENT_INSTRUMENT,0.928,12.22,2.9,HUMAN_REVIEW
PAY-0000100,CUST-007532,2025-02-27,38.07,GATEWAY_ERROR,GW_500,4,3,38,0.566,card,29,33.46,2,1058.75,False,0.527,GATEWAY_ERROR,0.89,40.57,21.38,HUMAN_REVIEW
PAY-0000101,CUST-001283,2026-06-17,13.55,CARD_EXPIRED,54,2,1,30,0.597,upi,28,12.0,1,297.53,False,0.387,PAYMENT_INSTRUMENT,0.868,13.48,5.22,HUMAN_REVIEW
PAY-0000102,CUST-000031,2026-06-17,31.95,INSUFFICIENT_FUNDS,51,5,4,34,0.529,upi,20,27.45,2,598.51,True,0.01,RISK_RELATED,0.431,33.66,0.34,STOP
PAY-0000103,CUST-006104,2025-11-27,13.98,DUPLICATE_TRANSACTION,DUP_94,2,1,31,0.483,netbanking,10,12.88,1,157.84,False,0.609,GATEWAY_ERROR,0.781,14.33,8.73,RETRY
PAY-0000104,CUST-001364,2026-02-17,26.31,BANK_UNAVAILABLE,BANK_DOWN_502,1,0,33,0.62,upi,13,24.57,0,385.89,False,0.766,TRANSIENT_FAILURE,0.855,26.8,20.53,RETRY
PAY-0000105,CUST-003575,2025-09-19,27.72,NETWORK_TIMEOUT,91,1,1,26,0.552,upi,12,29.34,0,374.59,False,0.649,TRANSIENT_FAILURE,0.919,27.31,17.72,RETRY
PAY-0000106,CUST-002896,2025-09-02,69.0,BANK_UNAVAILABLE,GW_503,5,5,31,0.497,upi,14,66.84,1,1149.72,False,0.407,TRANSIENT_FAILURE,0.86,68.06,27.7,HUMAN_REVIEW
PAY-0000107,CUST-008645,2026-06-15,22.22,AUTHENTICATION_FAILED,05,1,0,27,0.687,upi,45,19.14,2,843.56,False,0.488,CUSTOMER_ACTION_REQUIRED,0.833,23.24,11.34,CUSTOMER_NUDGE
PAY-0000108,CUST-000875,2026-03-29,31.89,BANK_UNAVAILABLE,91,1,0,36,0.542,card,69,28.68,4,2399.5,False,0.694,TRANSIENT_FAILURE,0.725,32.88,22.82,RETRY
PAY-0000109,CUST-000524,2025-04-11,25.15,BANK_UNAVAILABLE,91,2,1,34,0.552,netbanking,10,25.55,1,275.33,False,0.793,TRANSIENT_FAILURE,0.848,26.84,21.28,RETRY
PAY-0000110,CUST-007002,2026-06-06,29.21,INSUFFICIENT_FUNDS,51,4,4,36,0.409,upi,24,29.36,2,836.73,False,0.161,CUSTOMER_ACTION_REQUIRED,0.775,30.25,4.87,HUMAN_REVIEW
PAY-0000111,CUST-002967,2025-03-07,18.58,GATEWAY_ERROR,GW_ERR_96,4,3,31,0.454,card,32,19.89,2,555.96,False,0.429,GATEWAY_ERROR,0.849,18.76,8.05,HUMAN_REVIEW
PAY-0000112,CUST-005059,2026-03-03,8.9,NETWORK_TIMEOUT,TIMEOUT_408,2,1,33,0.407,netbanking,8,10.29,3,83.89,True,0.083,CUSTOMER_ACTION_REQUIRED,0.627,9.51,0.79,STOP
PAY-0000113,CUST-000084,2025-01-17,27.92,LIMIT_EXCEEDED,61,1,0,32,0.499,card,16,24.32,1,411.98,False,0.423,CUSTOMER_ACTION_REQUIRED,0.811,27.09,11.46,CUSTOMER_NUDGE
PAY-0000114,CUST-008888,2025-01-21,17.21,NETWORK_TIMEOUT,GW_503,1,0,26,0.567,card,9,13.44,0,133.62,False,0.823,TRANSIENT_FAILURE,0.831,17.28,14.22,RETRY
PAY-0000115,CUST-005833,2026-06-28,19.77,NETWORK_TIMEOUT,GW_503,3,2,24,0.698,card,50,14.66,0,838.63,False,0.748,TRANSIENT_FAILURE,0.934,20.19,15.1,RETRY
PAY-0000116,CUST-005873,2025-06-21,47.74,INSUFFICIENT_FUNDS,NSF_51,4,3,32,0.47,card,23,46.31,2,1227.07,False,0.136,CUSTOMER_ACTION_REQUIRED,0.828,47.76,6.5,STOP
PAY-0000117,CUST-006749,2025-01-28,35.31,DUPLICATE_TRANSACTION,94,5,4,32,0.5,card,20,36.55,0,696.35,False,0.429,GATEWAY_ERROR,0.896,36.18,15.52,HUMAN_REVIEW
PAY-0000118,CUST-003254,2025-02-18,49.27,NETWORK_TIMEOUT,TIMEOUT_408,2,2,32,0.592,card,34,50.78,1,1996.47,False,0.784,TRANSIENT_FAILURE,0.82,49.15,38.53,RETRY
PAY-0000119,CUST-003615,2025-05-27,12.32,NETWORK_TIMEOUT,TIMEOUT_408,2,1,30,0.606,netbanking,17,11.26,2,228.79,False,0.151,RISK_RELATED,0.378,12.74,1.92,HUMAN_REVIEW
PAY-0000120,CUST-003939,2026-03-19,11.03,CARD_EXPIRED,54,3,3,37,0.514,card,3,11.15,0,29.39,False,0.113,PAYMENT_INSTRUMENT,0.799,11.23,1.27,STOP
PAY-0000121,CUST-007139,2025-08-30,28.57,GATEWAY_ERROR,96,5,4,40,0.706,card,17,26.59,0,545.24,False,0.481,GATEWAY_ERROR,0.974,29.77,14.32,HUMAN_REVIEW
PAY-0000122,CUST-000744,2026-07-04,12.94,NETWORK_TIMEOUT,GW_503,2,3,32,0.505,card,18,13.91,0,250.33,False,0.557,TRANSIENT_FAILURE,0.964,13.55,7.55,RETRY
